State,Gas,MidGrade,Premium,Diesel,State Code,State Latitude,State Longitude,GDP per capita,Mean Distance (km),Min Distance (km),Refinery Count,PRIVATE AND COMMERCIAL AUTOMOBILE,PUBLIC AUTOMOBILE,TOTAL AUTOMOBILES,PRIVATE AND COMMERCIAL BUSES,PUBLIC BUSES,TOTAL BUSES,PRIVATE AND COMMERCIAL TRUCKS,PUBLIC TRUCKS,TOTAL TRUCKS,PRIVATE AND COMMERCIAL MOTORCYCLES,PUBLIC MOTORCYCLES,TOTAL MOTORCYCLES,TOTAL MOTOR VEHICLES
Pennsylvania,2.316,2.619,2.895,2.745,PA,41.2033216,-77.1945247,61594.0,3785.6741552471194,253.1399767369749,6.0,4415164,48103,4463267,53192,2743,55935,5719230,73616,5792846,376390,768,377158,10689206
Rhode Island,2.039,2.418,2.625,2.695,RI,41.5800945,-71.4774291,57852.0,4589.803198885306,471.054516877993,,413227,7086,420313,1872,401,2273,410744,8570,419314,30814,100,30914,872814
South Carolina,1.845,2.17,2.486,2.272,SC,33.836081,-81.1637245,45280.0,3473.9392307928547,197.71876628089584,,1725328,83073,1808401,5476,12252,17728,2342149,117690,2459839,117660,472,118132,4404100
South Dakota,1.999,2.053,2.376,2.166,SD,43.9695148,-99.9018131,58624.0,2551.31589886217,355.69345971570533,,347216,5964,353180,— ,2614,2614,769748,15353,785101,116807,654,117461,1258356
Tennessee,1.869,2.188,2.512,2.319,TN,35.5174913,-86.5804473,53933.0,2817.9577359228424,319.27245017126756,1.0,2274107,50897,2325004,2918,26240,29158,3201416,78943,3280359,163619,2349,165968,5800489
Texas,1.81,2.121,2.403,2.107,TX,31.9685988,-99.9018131,61167.0,2591.626440695919,287.95845108033586,21.0,8084454,92425,8176879,18425,48718,67143,13341345,180708,13522053,363764,926,364690,22130765
Utah,2.286,2.444,2.612,2.287,UT,39.3209801,-111.0937311,55550.0,3196.387810631175,213.68208918348762,3.0,914321,10731,925052,2460,3649,6109,1319576,21043,1340619,83792,201,83993,2355773
Virginia,1.861,2.243,2.533,2.363,VA,37.4315734,-78.6568942,62563.0,3672.8097578711577,383.19372724379326,,3206183,45156,3251339,8322,25946,34268,3964313,70613,4034926,193298,653,193951,7514484
Vermont,2.057,2.405,2.691,2.508,VT,44.5588028,-72.57784149999999,53523.0,4388.872924693528,511.8177081012983,,217906,4030,221936,322,748,1070,360231,7416,367647,30955,— ,30955,621608
Washington,2.631,2.828,2.994,2.686,WA,47.7510741,-120.7401385,74182.0,4118.167510975981,254.5819042970405,5.0,2854542,71223,2925765,5441,18125,23566,3963375,112089,4075464,231400,1,231401,7256196
Wisconsin,2.052,2.354,2.739,2.101,WI,43.7844397,-88.7878678,57720.0,2684.219078536165,263.5266304831382,1.0,2058730,33854,2092584,15563,4,15567,3108154,55660,3163814,324260,410,324670,5596635
West Virginia,2.035,2.296,2.59,2.375,WV,38.5976262,-80.4549026,43053.0,3422.491902227303,225.94744808559702,1.0,550117,12867,562984,244,3098,3342,1037704,26625,1064329,59236,1346,60582,1691237
Wyoming,2.046,2.263,2.489,2.32,WY,43.0759678,-107.2902839,69900.0,2884.6368246840498,146.952320102412,6.0,190149,3374,193523,2665,1554,4219,579881,12674,592555,28956,4,28960,819257
